VIN,MODEL_YEAR,MODEL_DESCRIPTION,MODEL_CODE,SERIES_CODE,EXTCOLOR_CODE,INTCOLOR_CODE,ACCY_LIST
JTNB11HK6J3019553,2018,2546 - SE,2546,050,0221,EA20,FEET,FP5000,MC1000,UF60
5TFCZ5AN2HX104986,2017,7598 - 4x4 TRD Pro Double Cab V6 (6 Spd Auto),7598,110,0040,LB25,BU1000,CY2000,FEAT,FP5000,TL1000,TRAT,UF60,XY9000
5TFAZ5CN4HX046528,2017,7146 - 4x2 SR5 Double Cab V6 (6 Spd Auto),7146,100,01D6,FC14,FEAT,FP5000,MR1000,TOAT,UF60,XY9000
JTDKARFU4H3541728,2017,1228 -Four Touring (CVT),1228,250,03T7,EA11,BHAT,BIAT,FEAT,FP5000,MC1000,PCAT,PMAT,UF60
4T1B11HK0JU502210,2018,2540 - XLE,2540,050,04X7,LA10,FEET,FP5000,MC1000,UF60,XY9000
2T3NFREV8HW394755,2017,4470 - FWD SE,4470,190,0040,EB20,FEAT,FP5000,UF60,VPGT,XY9000
5TFCZ5AN6HX104960,2017,7542 - 4x4 TRD Sport Double Cab V6 (6 Spd Auto),7542,110,0040,FD15,EEAT,FEAT,FP5000,MR1000,PYAT,TOAT,UF60,XY9000
5YFBURHEXHP733563,2017,1852 - LE (CVT),1852,020,0070,FB01,CY2000,FEAT,FP5000,PCAT,UF60,XY9000
2T3WFREVXHW394793,2017,4440 - FWD XLE,4440,190,01G3,FC20,FEAT,FP5000,MC2000,UF60,VPGT,XY9000
2T3WFREV5HW394961,2017,4440 - FWD XLE,4440,190,01G3,FC10,CY2000,FEAT,FP5000,MG1000,UF60,VPGT,XY9000
JTNB11HK0J3017930,2018,2546 - SE,2546,050,01J9,EA20,FEET,FP5000,MC1000,UF60
JTNB11HK7J3017908,2018,2546 - SE,2546,050,01J9,EA20,FEET,FP5000,MC1000,UF60
JTEZU5JR5H5161007,2017,8646 - 4x2 SR5 Premium V6,8646,130,0218,LB42,FEAT,FP5000,MRAT,MR1000,PF1000,QDAT,UF60,XF1100,XY9000
JTMYFREV4HJ720269,2017,4450 - FWD Limited,4450,190,08X7,EA20,ATAT,CS2000,FEAT,FP5000,MC2000,SCGT,UF60,XT9000
5YFBURHE4HP733140,2017,1864 - SE (CVT),1864,020,01F7,FC20,FEAT,FP5000,MC1000,SOAT,UF60,XY9000
JTMYFREVXHJ720583,2017,4450 - FWD Limited,4450,190,01G3,EA10,FEAT,FP5000,MC2000,UF60,XY9000
JTMJFREV9HJ169841,2017,4472 - AWD SE,4472,190,03R3,EB20,ATAT,CV1000,FEAT,FP5000,UF60,VPGT,XY9000
5YFBURHE1HP733712,2017,1864 - SE (CVT),1864,020,08W7,FC40,FEAT,FP5000,MC1000,UF60,XY9000
5TDZZRFH3HS225133,2017,6946 - 4 Door FWD LE V6 SUV (8 Spd Automatic),6946,270,0070,FB20,FEAT,FP5000,MC2000,PCAT,UF60,XY9000
2T3RFREV0HW677362,2017,4442 - AWD XLE,4442,190,0202,FC20,CS2000,FEAT,FP5000,MC2000,SCGT,UF60,VQGT,XT9000
3MYDLBYV1HY193704,2017,6262 - Yaris iA (6 Spd Auto),6262,450,041G,AZ70,FEAT,FP5000,UF60
3MYDLBYV0HY194018,2017,6262 - Yaris iA (6 Spd Auto),6262,450,042A,AZ70,CY2000,FEAT,FP5000,UF60
JTEBU5JR1H5469681,2017, 8670 - 4x4 Off-Road V6,8670,130,08S6,FC22,CV1000,EEAT,FEAT,FP5000,QBAT,UF60,XY9000
2T3YFREV8HW393778,2017,4474 - FWD Platinum,4474,190,01G3,EA20,CY2000,FP5000,UF60,XY9000
4T1B11HKXJU501467,2018,2540 - XLE,2540,050,01H1,LA10,FEET,FP5000,MC1000,UF60,XY9000
NMTKHMBX8JR024787,2018,2404 - C-HR XLE (CVTi-S),2404,490,02NE,FC20,CY2000,FEAT,FP4000,PCAT,PF1000,TXAT,UF60
2T1BURHE5HC953158,2017,1852 - LE (CVT),1852,020,03R3,FB01,FEAT,FP5000,MC1000,UF60,XY9000
JTMJFREV6HD219240,2017,4472 - AWD SE,4472,190,0040,EB20,CS2000,CV1000,ENAT,FEAT,FP5000,UF60,VPGT,XT9000
5TDZZRFH3HS224578,2017,6947 - 4 Door FWD LE PLUS V6 SUV (8 Spd Automatic),6947,270,03T0,FA00,BP1000,CY2000,FEAT,FP5000,MC2000,UF60,XT9000
3MYDLBYV0HY193693,2017,6262 - Yaris iA (6 Spd Auto),6262,450,045P,AZ70,FEAT,FP5000,UF60
3MYDLBYV9HY193563,2017,6262 - Yaris iA (6 Spd Auto),6262,450,045P,AZ70,FEAT,FP5000,UF60
3MYDLBYV8HY194333,2017,6262 - Yaris iA (6 Spd Auto),6262,450,0A4D,AZ70,CY2000,FEAT,FP5000,PT1000,UF60,XT9000
JTMJFREV1HD219064,2017,4472 - AWD SE,4472,190,0040,EB30,ATAT,FEAT,FP5000,UF60,VPGT,XY9000
5YFBURHE9HP731383,2017,1852 - LE (CVT),1852,020,01F7,FB11,FEAT,FP5000,MC1000,UF60,XY9000
JTNKARJE4HJ550789,2017,6272 - iM (CVT),6272,460,01F7,FA21,FEAT,FP5000,MC2000,UF60
5TFDW5F11HX673508,2017,8363 - 4x4 SR5 CrewMax 5.7L V8 FFV,8363,230,01G3,FC13,BS1000,BU1000,CP1000,CY2000,DSAT,FP5000,REAT,SPAT,UF60,XF2100,XY9000
5TFDW5F13HX673106,2017,8363 - 4x4 SR5 CrewMax 5.7L V8 FFV,8363,230,01G3,FC13,BS1000,CY2000,DSAT,FP5000,MR1000,REAT,SPAT,UF60,XX1130,XY9000
JTMJFREV9HJ167989,2017,4472 - AWD SE,4472,190,01G3,EB30,CS2000,CV1000,FEAT,FP5000,UF60,VPGT,XT9000
NMTKHMBX9JR023020,2018,2404 - C-HR XLE (CVTi-S),2404,490,01G3,FC20,FEAT,FP5000,MC1000,UF60
2T1BURHE0HC952449,2017,1852 - LE (CVT),1852,020,03R3,FB01,FEAT,FP5000,MC1000,UF60,XY9000
3MYDLBYV2HY193100,2017,6262 - Yaris iA (6 Spd Auto),6262,450,041W,AZ70,FEAT,FP5000,UF60
JTEBU5JR2H5468958,2017,8672 - 4x4 Off-Road Premium V6,8672,130,01G3,LC22,CV1000,CY2000,FEAT,FP5000,KDAT,LD4000,MRAT,PF1000,QDAT,UF60,XY9000
5TFAZ5CN3HX045922,2017,7148 - 4x2 TRD Sport Double Cab V6 (6 Spd Auto),7148,100,0040,FD24,EEAT,FEAT,FP5000,HHAT,MR1000,PYAT,TOAT,UF60,XY9000
5TFDW5F10HX673094,2017,8363 - 4x4 SR5 CrewMax 5.7L V8 FFV,8363,230,01D6,FC13,BS1000,BU1000,CY2000,DSAT,FP5000,MR1000,REAT,SPAT,TL1000,UF60,XY9000
5TFDW5F10HX672284,2017,8363 - 4x4 SR5 CrewMax 5.7L V8 FFV,8363,230,01G3,FC13,BS1000,BU1000,CY2000,DSAT,FP5000,MR1000,REAT,SPAT,UF60,XY9000
3TMEZ5CN1HM046722,2017,7182 - 4x2 Limited Double Cab V6 (6 Spd Auto),7182,100,0202,LA42,FEAT,FP5000,MR1000,TOAT,UF60,XY9000
5TFAZ5CNXHX046405,2017,7148 - 4x2 TRD Sport Double Cab V6 (6 Spd Auto),7148,100,0202,FD15,EEAT,FEAT,FP5000,MR1000,PYAT,TOAT,UF60,XY9000
3MYDLBYVXHY192650,2017,6262 - Yaris iA (6 Spd Auto),6262,450,045P,AZ70,CY2000,FEAT,FP5000,PT1000,UF60,XT9000
3MYDLBYV6HY192774,2017,6262 - Yaris iA (6 Spd Auto),6262,450,045P,AZ70,FEAT,FP5000,UF60
JTEBU5JR7H5467529,2017,8664 - 4x4 SR5 V6,8664,130,01G3,FB22,CDAT,EEAT,FEAT,FP5000,MR1000,QBAT,UF60,XF1100,XY9000
3MYDLBYV1HY192536,2017,6262 - Yaris iA (6 Spd Auto),6262,450,042M,AZ70,CY2000,FEAT,FP5000,UF60,XT9000
5TFAZ5CNXHX045724,2017,7146 - 4x2 SR5 Double Cab V6 (6 Spd Auto),7146,100,0040,FC22,CY2000,DNAT,FEAT,FP5000,MG1000,MR1000,PF1000,TOAT,UF60,XY9000
JTEBU5JR8H5463201,2017,8664 - 4x4 SR5 V6,8664,130,0040,FB22,CDAT,EEAT,FEAT,FP5000,IB1000,MR1000,PF1000,QBAT,TK1000,UF60,XF1100,XY9000
5TFCZ5AN7HX102666,2017,7598 - 4x4 TRD Pro Double Cab V6 (6 Spd Auto),7598,110,01H5,LB25,CY2000,FEAT,FP5000,PF1000,TRAT,UF60,XY9000
5TDYY5G18HS069079,2017,7931 - 2WD Platinum 5.7L V8 ,7931,260,0202,LH21,FEAT,FP5000,MC1000,PF4000,UF60,XY9000
5TFFW5F18HX228417,2017,8274 - 4x2 Limited CrewMax 5.7L V8 FFV,8274,220,0218,LB13,BS1000,FP5000,LXAT,REAT,SRAT,UF60,XY9000
JTMZFREV5HJ144986,2017,4430 - FWD LE,4430,190,03R3,FB20,EDAT,FEAT,FP5000,MC2000,RRGT,UF60,XY9000
5TFDW5F17HX672444,2017,8363 - 4x4 SR5 CrewMax 5.7L V8 FFV,8363,230,0202,FC44,BU1000,CY2000,DSAT,FP5000,MR1000,REAT,SPAT,UF60,XX2030,XY9000
4T1BF1FK4HU450675,2017,2546 - SE,2546,050,0070,FF20,CY2000,EDAT,FEAT,FP5000,MC1000,PCAT,PF1000,UF60,XX2000,XY9000
JTDKARFU6H3047807,2017,1228 -Four Touring (CVT),1228,250,0070,EA21,BHAT,BIAT,FEAT,FP5000,MC1000,PCAT,PMAT,UF60,XY9000
5TFDW5F13HX671761,2017,8363 - 4x4 SR5 CrewMax 5.7L V8 FFV,8363,230,01D6,FC13,BS1000,BU1000,CY2000,DSAT,FP5000,MR1000,REAT,SPAT,UF60,XY9000
2T3WFREV7HW392130,2017,4440 - FWD XLE,4440,190,01D6,FC10,FEAT,FP5000,MC2000,UF60,VPGT,XY9000
JTNB11HK6J3009492,2018,2532 - LE,2532,050,04X7,FA10,FEET,FP5000,MC1000,UF60
2T3ZFREV1HW390595,2017,4430 - FWD LE,4430,190,01D6,FB20,FEAT,FP5000,MC2000,RRGT,UF60,XY9000
JTEBU5JR0H5465203,2017,8672 - 4x4 Off-Road Premium V6,8672,130,01F7,LC22,CV1000,FEAT,FP5000,KDAT,MRAT,QDAT,UF60,XF1100,XY9000
JTEBU5JR3H5464658,2017,8664 - 4x4 SR5 V6,8664,130,0218,FB22,EEAT,FEAT,FP5000,IB1000,MR1000,PF1000,QBAT,THAT,UF60,XF1100,XY9000
JTMJFREV3HJ166207,2017,4472 - AWD SE,4472,190,03R3,EB20,CS2000,ENAT,FEAT,FP5000,UF60,VPGT,XY9000
3MYDLBYV2HY192139,2017,6262 - Yaris iA (6 Spd Auto),6262,450,042A,AZ70,FEAT,FP5000,UF60
